Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.501051756180507,0.00251837074235385,-0.0123136746063384,0,0,0,8.63835208125899,0.0940990201330559,0.00488970414468424,-0.00304839340970531,0.548955032514104,0.000218172328143083,0.641347447824602,0,0,0,0,0,0,package://chassis_build1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chassis_build1/meshes/base_link.STL,,chassis_new-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rearwheels,-2.41534988787429E-07,5.82464992182619E-07,-0.0845567041393492,0,0,0,6.38076583786448,0.0392212621285046,-4.30887018395415E-07,9.76066112883282E-08,0.0392221225283698,-2.35379703444886E-07,0.0461171399975649,0,0,0,0,0,0,package://chassis_build1/meshes/rearwheels.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chassis_build1/meshes/rearwheels.STL,,rear_axle_updated-1,Origin_rearwheelsjoints,Axis_rearwheelsjoints,rearwheelsjoints,continuous,-0.821436,-0.0645558435628412,-0.0508000000000001,1.5707963267949,-0.539852726549809,0,base_link,0,0,1,,,,,,,,,,,,
Fronleftwheel,0.137449571400598,0.123254260872899,-0.0600188128922838,0,0,0,2.93857990177993,0.0127678841587721,-4.65913754520283E-06,6.85523373092068E-07,0.0127689000990653,6.15111300504215E-07,0.0230057631354159,0,0,0,0,0,0,package://chassis_build1/meshes/Fronleftwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chassis_build1/meshes/Fronleftwheel.STL,,front_wheelleft-1,Origin_Fronleftwheel,Axis_Fronleftwheel,Fronleftwheel,continuous,-0.139327843863158,0.1573,0.163977770111509,-1.5707963267949,0.839875772837667,-2.85536566638985,base_link,0.744560197212446,0.667555325592541,0,,,,,,,,,,,,
Frontrightwheel,0.137449571400336,0.123254260871697,-0.0600188128888227,0,0,0,2.9385799020126,0.0127678841587761,-4.65913759046871E-06,6.85523401500957E-07,0.012768900099157,6.15111324158639E-07,0.0230057631355374,0,0,0,0,0,0,package://chassis_build1/meshes/Frontrightwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chassis_build1/meshes/Frontrightwheel.STL,,front_wheel-1,Origin_Frontrightwheeljoints,Axis_Frontrightwheeljoints,Frontrightwheeljoints,continuous,-0.139327843863156,-0.1475,0.162977770111512,-1.5707963267949,0.839875772837656,0.21583552224822,base_link,0.744560197212445,0.667555325592542,0,,,,,,,,,,,,
